iter	Passed	Remaining
0	6	2052
1	10	1584
2	15	1558
3	21	1621
4	27	1609
5	29	1448
6	35	1503
7	41	1497
8	46	1496
9	52	1533
10	58	1533
11	65	1565
12	71	1575
13	76	1558
14	82	1560
15	87	1549
16	92	1535
17	98	1535
18	103	1530
19	108	1519
20	114	1527
21	120	1528
22	126	1527
23	133	1537
24	139	1530
25	145	1530
26	151	1529
27	156	1522
28	162	1517
29	168	1513
30	173	1508
31	181	1516
32	186	1508
33	193	1517
34	199	1513
35	205	1504
36	211	1506
37	217	1500
38	223	1494
39	229	1491
40	235	1484
41	240	1477
42	246	1474
43	252	1467
44	259	1473
45	266	1469
46	272	1465
47	279	1465
48	285	1460
49	291	1459
50	297	1451
51	303	1445
52	310	1446
53	315	1437
54	322	1437
55	329	1433
56	335	1428
57	342	1427
58	347	1418
59	353	1412
60	360	1411
61	366	1407
62	374	1407
63	379	1400
64	386	1397
65	392	1391
66	398	1385
67	405	1384
68	411	1377
69	418	1373
70	424	1368
71	430	1362
72	437	1360
73	443	1354
74	449	1349
75	456	1345
76	462	1338
77	470	1339
78	476	1332
79	483	1329
80	489	1324
81	495	1317
82	502	1314
83	507	1304
84	512	1296
85	518	1290
86	523	1281
87	529	1274
88	535	1268
89	539	1259
90	545	1252
91	550	1245
92	555	1237
93	561	1230
94	567	1223
95	572	1215
96	578	1210
97	583	1202
98	588	1195
99	595	1190
100	599	1182
101	605	1174
102	610	1168
103	616	1161
104	621	1153
105	628	1149
106	633	1142
107	639	1136
108	646	1132
109	651	1125
110	657	1120
111	664	1115
112	669	1108
113	677	1104
114	683	1099
115	688	1092
116	695	1087
117	700	1080
118	706	1075
119	716	1075
120	724	1072
121	730	1066
122	736	1059
123	743	1055
124	748	1048
125	755	1042
126	760	1036
127	766	1029
128	773	1025
129	779	1019
130	785	1013
131	791	1007
132	797	1001
133	804	997
134	810	990
135	816	984
136	823	979
137	828	973
138	835	967
139	841	961
140	846	954
141	854	950
142	859	943
143	864	936
144	870	931
145	875	923
146	880	916
147	886	910
148	891	903
149	897	897
150	903	891
151	908	884
152	913	877
153	918	871
154	923	864
155	928	857
156	934	851
157	939	844
158	944	837
159	950	831
160	954	824
161	959	816
162	965	811
163	969	804
164	974	797
165	981	791
166	986	785
167	991	778
168	998	774
169	1004	767
170	1009	761
171	1015	755
172	1021	749
173	1028	744
174	1034	738
175	1039	732
176	1047	727
177	1053	721
178	1059	716
179	1065	710
180	1071	704
181	1079	699
182	1084	693
183	1091	687
184	1098	682
185	1104	676
186	1111	671
187	1117	665
188	1123	659
189	1130	654
190	1135	648
191	1142	642
192	1147	635
193	1151	629
194	1158	623
195	1164	617
196	1170	611
197	1176	605
198	1181	599
199	1188	594
200	1196	589
201	1202	583
202	1207	577
203	1212	570
204	1218	564
205	1224	558
206	1228	552
207	1234	545
208	1240	540
209	1245	533
210	1251	527
211	1256	521
212	1261	515
213	1266	509
214	1272	503
215	1277	496
216	1283	490
217	1288	484
218	1293	478
219	1299	472
220	1305	466
221	1310	460
222	1317	454
223	1321	448
224	1327	442
225	1334	436
226	1339	430
227	1344	424
228	1350	418
229	1355	412
230	1360	406
231	1366	400
232	1371	394
233	1376	388
234	1382	382
235	1387	376
236	1391	369
237	1398	364
238	1402	358
239	1407	351
240	1413	346
241	1418	339
242	1423	333
243	1429	328
244	1434	321
245	1438	315
246	1444	309
247	1449	303
248	1454	297
249	1459	291
250	1465	286
251	1470	280
252	1475	274
253	1480	268
254	1485	262
255	1491	256
256	1497	250
257	1502	244
258	1509	238
259	1514	232
260	1518	226
261	1525	221
262	1530	215
263	1535	209
264	1541	203
265	1546	197
266	1552	191
267	1558	186
268	1563	180
269	1568	174
270	1579	169
271	1586	163
272	1593	157
273	1598	151
274	1605	145
275	1611	140
276	1617	134
277	1625	128
278	1631	122
279	1640	117
280	1646	111
281	1656	105
282	1663	99
283	1669	94
284	1675	88
285	1681	82
286	1689	76
287	1695	70
288	1702	64
289	1708	58
290	1713	53
291	1720	47
292	1726	41
293	1732	35
294	1738	29
295	1744	23
296	1751	17
297	1757	11
298	1763	5
299	1770	0
